Band,BW,Tx_Freq,Chan,Tx_level,Measured_Power,E_-1,E_+1,U_-1,U_+1,U_-2,U_+2,EVM,Freq_Err,IQ_OFFSET,RB_num,RB_start,MCS,Type,Tx_Path,SCS(KHz),RB_STATE,Sync_Path,AS_SRS_Path,Current(mA),Condition,Temp0,Temp1,Voltage_mipi,FBRX power,MIPI read
48,100,3600000,ch0,26,22.72041,-41.94889,-42.53176,-55.76388,-56.13893,-55.83261,-56.23298,2.038001,-21.18848,-65.21362,137,68,QPSK,CP,TX1,30,INNER_FULL,Main,,,NTNV,,,,,
48,100,3625000,ch1,26,22.71404,-41.92016,-42.60874,-55.79014,-55.81135,-56.02758,-56.14793,1.987918,-7.544527,-63.03505,137,68,QPSK,CP,TX1,30,INNER_FULL,Main,,,NTNV,,,,,
48,100,3650000,ch2,26,22.76217,-41.96962,-42.72683,-55.922,-56.1374,-55.975,-56.44136,1.97908,-11.19444,-65.81837,137,68,QPSK,CP,TX1,30,INNER_FULL,Main,,,NTNV,,,,,
48,100,3600000,ch0,26,21.29534,-39.89828,-40.29555,-49.33617,-49.75818,-53.20031,-52.72226,2.224925,-18.42558,-65.64935,273,0,QPSK,CP,TX1,30,OUTER_FULL,Main,,,NTNV,,,,,
48,100,3625000,ch1,26,21.22528,-39.8482,-40.3521,-49.30779,-49.98006,-53.37537,-53.07481,2.180278,-0.571667,-67.38164,273,0,QPSK,CP,TX1,30,OUTER_FULL,Main,,,NTNV,,,,,
48,100,3650000,ch2,26,21.14142,-39.75198,-40.27403,-49.18309,-50.38042,-53.24517,-53.28941,2.181901,14.94983,-67.03919,273,0,QPSK,CP,TX1,30,OUTER_FULL,Main,,,NTNV,,,,,
77,100,3350000,ch0,26,26.12772,-40.53437,-40.85938,-48.64602,-49.07125,-50.24704,-50.08647,2.526635,1.642637,-62.06272,135,67,QPSK,DFTS,TX1,30,INNER_FULL,Main,,,NTNV,,,,,
77,100,3750000,ch1,26,26.23116,-41.23392,-41.83793,-49.15813,-50.48785,-50.74281,-51.87383,2.254637,-43.67543,-70.26559,135,67,QPSK,DFTS,TX1,30,INNER_FULL,Main,,,NTNV,,,,,
77,100,4150000,ch2,26,26.15809,-42.02943,-42.37531,-51.59683,-52.34459,-52.39816,-52.96778,2.270359,-5.146592,-69.67521,135,67,QPSK,DFTS,TX1,30,INNER_FULL,Main,,,NTNV,,,,,
77,100,3350000,ch0,26,25.24563,-38.16758,-38.73639,-47.81877,-49.55992,-50.36747,-50.58931,2.141507,-15.25546,-62.79584,270,0,QPSK,DFTS,TX1,30,OUTER_FULL,Main,,,NTNV,,,,,
77,100,3750000,ch1,26,25.34902,-40.12027,-40.14209,-48.77495,-50.40797,-52.46441,-52.22651,1.946187,-16.17562,-68.99656,270,0,QPSK,DFTS,TX1,30,OUTER_FULL,Main,,,NTNV,,,,,
77,100,4150000,ch2,26,25.13771,-40.60473,-41.31854,-49.20862,-52.33932,-53.6959,-54.29419,2.029439,18.61337,-67.71335,270,0,QPSK,DFTS,TX1,30,OUTER_FULL,Main,,,NTNV,,,,,
77,100,3350000,ch0,26,24.72335,-39.78108,-39.73818,-47.8408,-47.36881,-49.11981,-48.83134,3.819954,17.03905,-65.66106,137,68,QPSK,CP,TX1,30,INNER_FULL,Main,,,NTNV,,,,,
77,100,3750000,ch1,26,24.76164,-40.64507,-41.04001,-48.44042,-49.09503,-49.88325,-50.5055,3.476547,-0.6146451,-68.87869,137,68,QPSK,CP,TX1,30,INNER_FULL,Main,,,NTNV,,,,,
77,100,4150000,ch2,26,24.61487,-41.14549,-41.42402,-50.08508,-50.51395,-51.36112,-51.5827,3.174227,11.08148,-69.17072,137,68,QPSK,CP,TX1,30,INNER_FULL,Main,,,NTNV,,,,,
77,100,3350000,ch0,26,23.23314,-37.87809,-38.10302,-47.31076,-47.82782,-50.30492,-49.90283,2.799759,-5.408827,-70.74166,273,0,QPSK,CP,TX1,30,OUTER_FULL,Main,,,NTNV,,,,,
77,100,3750000,ch1,26,23.32739,-38.87459,-39.19797,-47.43322,-48.31337,-50.40244,-50.58293,2.69747,-19.86039,-68.45575,273,0,QPSK,CP,TX1,30,OUTER_FULL,Main,,,NTNV,,,,,
77,100,4150000,ch2,26,23.13708,-39.38502,-39.95341,-48.21596,-49.33948,-51.81406,-52.04593,2.643347,-46.40345,-64.53976,273,0,QPSK,CP,TX1,30,OUTER_FULL,Main,,,NTNV,,,,,
78,100,3350000,ch0,26,26.11298,-40.54915,-40.83365,-48.65573,-49.06869,-50.21076,-50.14336,2.507508,11.58521,-68.07491,135,67,QPSK,DFTS,TX1,30,INNER_FULL,Main,,,NTNV,,,,,
78,100,3550000,ch1,26,26.3351,-40.08189,-40.10796,-48.06549,-47.90844,-49.24555,-49.07444,2.418455,-47.79729,-72.54905,135,67,QPSK,DFTS,TX1,30,INNER_FULL,Main,,,NTNV,,,,,
78,100,3750000,ch2,26,26.20905,-41.2766,-41.94257,-49.20058,-50.48022,-50.89911,-51.95858,2.250727,29.99769,-70.95625,135,67,QPSK,DFTS,TX1,30,INNER_FULL,Main,,,NTNV,,,,,
78,100,3350000,ch0,26,25.26528,-38.09639,-38.69464,-47.66491,-49.38182,-50.29482,-50.51052,2.130204,26.05921,-65.72647,270,0,QPSK,DFTS,TX1,30,OUTER_FULL,Main,,,NTNV,,,,,
78,100,3550000,ch1,26,25.36444,-39.97418,-41.02463,-49.28463,-51.71413,-53.4266,-53.19886,1.701198,-13.53478,-70.745,270,0,QPSK,DFTS,TX1,30,OUTER_FULL,Main,,,NTNV,,,,,
78,100,3750000,ch2,26,25.35628,-40.17282,-40.12635,-48.8193,-50.33209,-52.52004,-52.17304,1.957775,16.70262,-67.84729,270,0,QPSK,DFTS,TX1,30,OUTER_FULL,Main,,,NTNV,,,,,
78,100,3350000,ch0,26,24.62063,-39.95203,-39.92971,-48.27897,-47.78669,-49.47383,-49.22025,3.677743,12.59108,-64.75476,137,68,QPSK,CP,TX1,30,INNER_FULL,Main,,,NTNV,,,,,
78,100,3550000,ch1,26,24.91545,-39.35987,-39.28787,-46.44349,-46.01063,-48.00133,-47.53762,4.232758,4.446776,-67.46123,137,68,QPSK,CP,TX1,30,INNER_FULL,Main,,,NTNV,,,,,
78,100,3750000,ch2,26,24.74202,-40.67766,-40.99106,-48.51653,-49.1715,-49.92304,-50.49416,3.448278,14.8479,-68.17321,137,68,QPSK,CP,TX1,30,INNER_FULL,Main,,,NTNV,,,,,
78,100,3350000,ch0,26,23.27006,-37.83251,-38.15519,-47.31296,-47.73345,-50.0767,-49.75165,2.808206,-6.515827,-69.14516,273,0,QPSK,CP,TX1,30,OUTER_FULL,Main,,,NTNV,,,,,
78,100,3550000,ch1,26,23.41127,-38.86327,-39.27214,-47.92074,-48.19912,-51.11854,-50.48468,2.584685,-4.696865,-69.51682,273,0,QPSK,CP,TX1,30,OUTER_FULL,Main,,,NTNV,,,,,
78,100,3750000,ch2,26,23.35168,-38.96314,-39.18735,-47.52751,-48.28359,-50.49291,-50.5968,2.710819,30.73121,-67.01102,273,0,QPSK,CP,TX1,30,OUTER_FULL,Main,,,NTNV,,,,,
48,100,3600000,ch0,26,23.87968,-42.55297,-42.82553,-54.33082,-55.10921,-55.01345,-54.76999,1.476083,-11.76655,-72.55902,135,67,QPSK,DFTS,TX2,30,INNER_FULL,Main,,,NTNV,,,,,
48,100,3625000,ch1,26,23.88412,-42.44941,-42.79681,-53.82921,-54.31358,-54.45424,-54.24387,1.538103,15.25407,-75.3445,135,67,QPSK,DFTS,TX2,30,INNER_FULL,Main,,,NTNV,,,,,
48,100,3650000,ch2,26,23.94002,-41.72316,-42.21976,-51.30272,-51.98034,-52.37829,-52.8006,1.764276,15.81118,-71.64756,135,67,QPSK,DFTS,TX2,30,INNER_FULL,Main,,,NTNV,,,,,
48,100,3600000,ch0,26,22.87449,-40.54762,-41.2216,-49.32516,-52.29745,-53.08002,-54.21964,1.579131,-12.84292,-69.33754,270,0,QPSK,DFTS,TX2,30,OUTER_FULL,Main,,,NTNV,,,,,
48,100,3625000,ch1,26,22.90337,-40.35346,-40.96015,-49.10679,-52.09038,-52.72904,-53.72418,1.636141,3.42998,-69.04865,270,0,QPSK,DFTS,TX2,30,OUTER_FULL,Main,,,NTNV,,,,,
48,100,3650000,ch2,26,22.91046,-40.17212,-40.87507,-48.97719,-52.03335,-52.5427,-53.69807,1.670215,-7.969188,-67.46252,270,0,QPSK,DFTS,TX2,30,OUTER_FULL,Main,,,NTNV,,,,,
